Filename,Question,Answer
scraped_data_00017.md,When is the Open Lab schedule for e-Society lab?,"
              According to the provided context, the Open Lab schedule for e-Society Lab (Prof. Kryssanov, Dr. Hananto) is:

June 4 (Tue): 13:00-14:30

June 6 (Thu): 13:00-14:30

June 7 (Fri): 16:20-17:50"
scraped_data_00018.md,How do I submit my Research Lab Preference?,"
              Based on the context provided, it seems that you are looking for information on how to submit your Research Lab Preference. According to the instructions, you can submit your preference by following these steps:

1. Log in to the ISSE Course WEB Application for Research Lab Preference using your Rainbow ID and Rainbow Password.
2. Answer the questionnaire by choosing your laboratory preferences in order of preference, and describe the reasons for selecting them in accordance with the allocation policy.
3. Make sure there is no mistake on your answers in the confirmation page.
4. Print the confirmation page and save it for your record.
5. Click the ""Submit"" button at the bottom of the confirmation page.

Please note that the application period is from June 13 (Thu) 10:00am, 2024 – June 17 (Mon) 1:00pm, 2024, and you can change and edit your answers anytime during this period."
scraped_data_00019.md,What happens if I fail the mandatory subjects?,"
              Based on the context provided, if you fail to satisfy the prerequisite at the end of your second year, you will not be permitted to advance to third year and will be re-enrolled as a second year student. Additionally, if you receive a failing grade in any of the mandatory subjects, you must re-take the failed subject(s) in the following semester, for up to 2 credits."
scraped_data_00020.md,What is Manabi-LABO?,"
              Answer: Manabi-LABO is an education support system held by teachers and TAs to support student's study. It is a place where students can ask questions related to education, such as classes and information technology, as well as discuss future career or campus life issues and receive guidance."
scraped_data_00021.md,Where and when is the lecture by Prof. Tshilidzi Marwala held?,"
              According to the context, the lecture by Prof. Tshilidzi Marwala is held on 20 November, Monday from 14:40 to 16:10 at Soshikan Hall, Kinugasa Campus."
scraped_data_00022.md,What is the German Language Exchange Event?,"
              The German Language Exchange Event is an event where you can introduce yourself in German and have a conversation in German and English about a topic decided by the international students. It is designed to be fun even for people who have never studied German before! The event will take place on 11 July 2024 from 12:15-12:50 at the BBP Lounge (Building A, 1F)."
scraped_data_00023.md,What language will be used at the German Language Exchange event?,"
              Based on the context provided, the German Language Exchange event will use German (any level), English, and Japanese languages."
scraped_data_00024.md,What are the activities planned for the Slumber Party?,"
              Based on the context provided, the activities planned for the Slumber Party are:
              - Cooking
              - Fireworks
              - Movie viewing
              - Picnic
              - Other contents (not specified)
            "
scraped_data_00025.md,Who can come to the Tanabata event?,"
              Based on the provided context, the Tanabata event is open to everyone, including international students, new students, newcomers to BBP, regular visitors, etc. Therefore, the answer to the question is:

""Everyone is welcome to come and write their wishes, including international students, new students, newcomers to BBP, regular visitors, etc."""
scraped_data_00026.md,When will the Slumber Party take place?,"
              The Slumber Party will take place from July 20 (Sat) to July 21 (Sun), 2024."
scraped_data_00027.md,Is it mandatory to stay until the end of the German Language Exchange event?,"
              Based on the context provided, it seems that the German Language Exchange event is scheduled from 12:15-12:50. There is no mention of it being mandatory to stay until the end of the event. In fact, the event description explicitly states that you are welcome to join us halfway through and leave halfway through. Therefore, it is not mandatory to stay until the end of the event."
scraped_data_00028.md,How many people are accepted to join the Pajama Party?,"
              Based on the provided context, the allotted number for the Pajama Party is 20 people. If the number of applicants exceeds 20, the number will be determined by lottery."
scraped_data_00029.md,For how long is the Tanabata event held?,"
              The Tanabata event is held from July 1st until the end of the semester."
scraped_data_00030.md,Give me the link for the list of scholarships for international students for which individuals can apply.,"
              Here is the link to the list of scholarships for international students for which individuals can apply:

https://global.support.ritsumei.ac.jp/hc/en-us/articles/7212441455763-Any-scholarships-international-students-can-apply-for-individually-Updated-on-2024-6-27

Please note that this link provides a list of private scholarships for which a recommendation from the university is not required to apply. If you apply for one of these or any other private scholarships, please notify the International Center on your campus once you have submitted your application."
scraped_data_00031.md,What are the duties of OIC Global Supporters?,"
              Based on the context provided, the duties of OIC Global Supporters are not explicitly mentioned. However, it is mentioned that the Kinugasa and BKC International Centers will begin offering consultation services provided by an International Student Support Coordinator stationed at each center respectively. The OIC International Center will also offer the same consultation services but without designating a specific International Student Support Coordinator at this time.

The International Student Support Coordinators handle a variety of inquiries related to international students' student life, including providing advice and assistance, liaising between the international student and other on and off-campus facilities if necessary to try and reach a solution."
scraped_data_00032.md,How are bonus points useful?,"
              The bonus points awarded for the first use in the spring semester can be used to earn rewards. As mentioned in the context, if you earn 20 points, you will get a library book coupon worth 1,000 yen. This is a great opportunity to get a reward for using the BBP Mileage system and to encourage students to continue self-access learning."
scraped_data_00033.md,What changes will be made on OneDrive storage capacity?,"
              I'm happy to help you with your question! However, I must point out that the provided context does not mention anything about OneDrive storage capacity. The context only talks about submission of documents for ES and working conditions. Therefore, I cannot provide an answer to your question as it is not related to the given context. If you have any other questions related to the provided context, I'll be happy to help."
scraped_data_00034.md,When is the additional registration period for BBP Language Exchange Program?,"
              According to the provided context, the additional registration period for BBP Language Exchange Program is from April 1st (Mon) to April 19th (Fri) 23：59."
scraped_data_00035.md,What language proficiency is needed for Korean?,"
              Based on the provided context, I couldn't find any information about the language proficiency required for Korean. The context only mentions language proficiency for Japanese and English. Therefore, I cannot answer the question about Korean language proficiency. If you have any other questions related to the provided context, I'll do my best to assist you."
scraped_data_00036.md,Can I book the Room for one person use?,"
              Based on the context provided, it seems that the ""Room"" can only be used by groups, not by individuals. It is mentioned that ""You need to book 'Room' by groups, not by individuals."" Therefore, it is not possible to book the Room for one person use."
scraped_data_00037.md,Where do we meet up for the Kyoto Intercollegiate Festa?,"
              According to the context, the meeting time and place for the Kyoto Intercollegiate Festa are:

* Date: Thursday, 5.23.2024
* Meeting time: 17:30
* Meeting place: Outside Kyoto Station Central Exit

You can find the application form and more information on the event's Instagram and email provided."
scraped_data_00038.md,Where can I get the campus diaries?,"
              You can get the ""Campus Diary"" (Risumeikan University AY2024 Planner) at the Office of Student Affairs (1st Floor, AS Office) at Osaka Ibaraki Campus (OIC). The distribution is available from 9:30 - 11:30 (excluding Tuesday) and 12:30 - 17:00 on Tuesday. Please note that it's first come, first served and there is a limited number of copies available."
scraped_data_00039.md,What langauge will the yoga class be in?,"
             I think there is no yoga class mentioned in the provided context. The event mentioned is a German Language Exchange event where you can introduce yourself in German and have a conversation in German and English about a topic decided by the international students."
scraped_data_00040.md,How many smoking areas are there in Ritsumeikan University?,"
              Based on the context provided, there is only one smoking area mentioned, which is the Smoking Cessation Support Area located at the Library on Kinugasa Campus."
scraped_data_00041.md,How does the BBP Language Exchange Program work?,"
              The BBP Language Exchange Program is a program where you can learn a foreign language via language exchange with a matching partner. Here's a step-by-step guide on how it works:

1. Register your ""target language"" (the language you want to learn) and your ""teachable language"" (your native language or the language you speak).
2. The program will search for a matching language partner based on your target language and teachable language.
3. Once a matching partner is found, you will be informed via manaba+R.
4. Meet with your partner on a predetermined hour and day of the week.
5. You will meet with your partner regularly for a language exchange.

The program is free of charge, and you can learn a foreign language while teaching your own language to your partner. The program aims to provide a platform for language exchange and cultural exchange between students."
scraped_data_00042.md,Are there any rules for using the Idea-Lab?,"
             Yes, there are some rules for using the Idea-Lab. According to the provided context, the rules are as follows:

* Drink and food are not allowed (except for covered drinks)
* Luggage cannot be left in the space
* Loud conversations, sleeping, and activities unrelated to studies are not allowed
* Some areas may have no-talking zones, so please be mindful of the usage manners.

Please refer to the ""Idea-Lab.利用案内"" (Idea-Lab. usage guide) for more information."
scraped_data_00043.md,What is the Extracurricular Activities handbook about?,"
              The Extracurricular Activities Handbook is a guide for extracurricular activities at Ritsumeikan University, which describes procedures, rules, and risk management for extracurricular activities. It is a resource for students to learn about the university's extracurricular activities and how to participate in them safely and securely."
scraped_data_00044.md,"Do I have to sign up to join the ""My Life in Japan as an International Graduate Student"" event online?","
              According to the provided context, it seems that the event ""My Life in Japan as an International Graduate Student"" is a hybrid event, and it will be held both in-person and online. To join the event online, you will need to pre-register. You can do this by following the link provided in the email: https://ritsumei-ac-jp.zoom.us/meeting/register/tJwpce6hrzosE9DVbwG-9u3Gtu2CNK1UBGPs."
scraped_data_00045.md,What is the phone number for emergency telephone counseling?,"
              The phone number for emergency telephone counseling is (03)-5774-0992 for English only, available from 9 am to 11 pm Monday-Thursday, and 9 am to 2 am Friday-Sunday."
scraped_data_00046.md,Who is suitable for the Tanabata Matching Event?,"
              According to the context, the Tanabata Matching Event is suitable for international students who want to make friends with Japanese students, and can speak Japanese, as well as Japanese students who want to make friends with international students."
scraped_data_00047.md,Where can I find Application Guidelines for Residence Period Extension?,"
              According to the context provided, you can find the Application Guidelines for Residence Period Extension on the university's FAQ page. Specifically, you can click on the link provided and then click on the word ""this guideline"" under the ""BKC"" section."
scraped_data_00048.md,Who will be the guest speaker for Professional Training open class?,"
             The guest speaker for the Professional Training open class is Mr. Hideki HARA, the Managing Director, Department of Japanese Studies, The Japan Foundation."
scraped_data_00049.md,When will the Graduate Schools Guidance Sessions be held?,"
              The Graduate Schools Guidance Sessions will be held on the following dates:
              1. Monday, May 10, 2021, 18:00-19:00
              2. Friday, May 21, 2021, 18:00-19:00
              3. Sunday, June 6, 2021, 14:00-15:00
              4. Saturday, June 19, 2021, 14:00-15:00
            "
scraped_data_00050.md,When is the application period for Student Exchange Program AY2024?,"
              According to the provided context, the application period for the Student Exchange Program AY2024 is from Monday October 23, 2023 to Thursday October 26, 2023."
scraped_data_00051.md,What are the contents for Exchange Program Information Session on June 26th?,"
              Based on the context provided, the contents for Exchange Program Information Session on June 12:10 – 13:00 on June 26th include:

* Exchange Program Information Session

After the Information Session, there will be a chance to hear stories from students who have just completed their study abroad from 13:00 – 14:30."
scraped_data_00052.md,Give me the link to the OIC official Instagram account.,"
              I can help you with that! The OIC Global Supporters' official Instagram account is @ritsumeikan_global_supporters."
scraped_data_00053.md,What is the new office hour for OIC Manabi Station?,"
              The new office hour for OIC Manabi Station is from 9:00am to 5:00pm."
scraped_data_00054.md,What does the Ritsumeikan University Official Instagram Account post?,"
              Based on the provided context, the Ritsumeikan University Official Instagram Account posts:

1. Photos and videos of seasonal campus scenes and students and student organizations engaged in various activities.
2. Little-known facts about the university's campuses (#Rの豆知識).
3. Information on nearby restaurants that serve delicious dishes (#リツメシ).
4. Useful information about the university.
5. Important announcements from the university (through Stories).

The account aims to introduce the university's attractiveness from various angles and encourage users to follow them to learn more about Ritsumeikan University."
scraped_data_00055.md,What can I learn from APUxRU Student Proposed Seminar?,"
              Based on the provided context, it seems that the APU×RU Student Proposed Seminar is a joint seminar between students from APU and Ritsumeikan University, focusing on international exchange and cultural understanding. By participating in this seminar, you can learn the following:

* About different perspectives and experiences of students from different countries and backgrounds
* How to work collaboratively with people from diverse backgrounds and cultures
* Effective communication and teamwork skills through online discussions and presentations
* How to approach and discuss complex topics related to international exchange and cultural understanding
* The value of traveling and the impact it can have on personal and professional growth
* The importance of embracing different cultures and backgrounds in a globalized world

Additionally, the seminar aims to invite entrepreneurs and influencers related to traveling as guest speakers, which can provide valuable insights and networking opportunities. By participating in this seminar, you can also develop your critical thinking, problem-solving, and creativity skills through discussions and fieldwork.

Overall, the APU×RU Student Proposed Seminar offers a unique opportunity to broaden your perspectives, develop your skills, and build connections with like-minded individuals from around the world."
scraped_data_00056.md,What is the goal of Mirai Seminar?,"
              Based on the context provided, the goal of Mirai Seminar is to have a specific idea about traveling and show leadership in a multinational environment. The seminar aims to discuss how traveling makes our lives richer from different perspectives (SDGs, Business, YouTuber, etc.) and make enthusiastic friends from diverse backgrounds."
scraped_data_00057.md,Who is eligible to participate in “Living in Economic Turbulence” event?,"
              Based on the context provided, the ""Living in Economic Turbulence"" event is open to all Ritsumeikan University undergraduate and graduate students."
scraped_data_00058.md,How can I know the exact location for the English Cafe?,"
              According to the provided context, the exact location of the English Cafe will be emailed to those who signed up. To register, you can visit the link provided: https://forms.office.com/r/Zf1yeyb79D. After signing up, you will receive an email with the exact location of the English Cafe."
scraped_data_00059.md,How can I book “Room”?,"
              According to the provided context, to book ""Room"", you can follow these steps:

1. The booking can be made for up until 2 weeks prior to the date you wish to use it.
2. You can book ""Room"" at OIC Manabi Station before use.
3. Please come to OIC Manabi Station during the office hour to book ""Room"".
4. You need to fill in the application form, including the purpose of the use, date, and time of the use, and contact details.
5. The group doesn't necessarily need to have a group name.
6. The staffs and lecturers can also send the application from via email.
7. Make sure you understand the ""Notice"" before booking ""Room"".

Please note that booking annually, monthly, weekly, etc. is not accepted. You need to book ""Room"" every time you use it."
scraped_data_1717508077.md,How do I apply for tuition reduction?,"
              To apply for tuition reduction, please refer to the Tuition Reduction Guidelines."
scraped_data_1717508079.md,Can I talk to the International Student Support Coordinator individually?,"
              Yes, you can talk to the International Student Support Coordinator individually. According to the text, you can make a reservation using the booking form provided, and within 3 days, you will receive an email with a reservation confirmation. You can then schedule a one-on-one consultation with the coordinator."
scraped_data_1717508081.md,Will tuition reduction be available in 2026?,"
              Based on the provided context, it is mentioned that the current Ritsumeikan University Tuition Reduction Scholarship for International Students will end in 2025. Tuition reduction from 2026 onwards has not yet been determined. Therefore, it is unclear whether tuition reduction will be available in 2026. The university has not made any announcements or decisions regarding tuition reduction for 2026 or later."
scraped_data_1717508083.md,When is the scholarship application period for Fall semester?,"
              According to the context provided, the scholarship application period for Fall semester is not specified. However, it is mentioned that students admitted in April can apply each year in early April, and students admitted in September can apply each year in late September. Since the context does not provide the exact dates for Fall semester, I cannot answer the question accurately. If you have any other questions or concerns, I'll be happy to help."
scraped_data_1717508085.md,"What documents are needed to change to a ""Designated Activities"" status of residence?","
              Based on the context provided, to change to a ""Designated Activities"" status of residence, the following documents are required:

1. Application for Change of Status of Residence
2. Photograph (4 cm × 3 cm)
3. Passport
4. Residence Card
5. Document proving the applicant's ability to pay expenses while staying in Japan

Note that the specific requirements may vary depending on the individual circumstances of the applicant. It is recommended to check with the Immigration Bureau for the most up-to-date and accurate information."
scraped_data_1717508087.md,How long does it usually take to get a residence period extension?,"
              According to the context provided, the processing time for a residence period extension is approximately one month. However, it may take more than one month depending on your past record and status of credit acquisition."
scraped_data_1717508088.md,How can I apply for a COE?,"
              Based on the provided context, I can answer your question about how to apply for a Certificate of Eligibility (COE).

To apply for a COE, you need to follow these steps:

1. Access the web form provided by the Japanese Immigration Bureau via the university.
2. Select ""4. その他 (問合せ/連絡) Others (Inquiry/Contact)"" from the list.
3. Enter each item and describe your situation.
4. Attach your photo of both sides of your residence card.
5. Submit a copy of your current passport and a copy of your new passport application or a statement. In the statement, please indicate that you are renewing your passport in the same name order, date of birth, and gender as in your old passport.

If you need to apply for a COE, please contact the International Center following the steps provided."
scraped_data_1717508090.md,What information does the Immigration Services Agency provide?,"
              The Immigration Services Agency provides an e-mail delivery service that informs foreigners living in Japan of Japan's immigration procedures and living support information."
scraped_data_1717508092.md,Why do I need to submit my residence card?,"
              You need to submit your Residence Card to the International Center because the university requires it to report your valid resident status to the government in case of an inquiry. This is necessary for the university to smoothly support you in case you get involved in trouble."
scraped_data_1717508094.md,What are the monthly questionnaires for?,"
              I'm not able to answer this question as the provided context does not mention anything about monthly questionnaires. The context appears to be related to the final examination schedule, application forms, and registration procedures. If you could provide more context or clarify what you mean by ""monthly questionnaires"", I'll do my best to assist you."
scraped_data_1717508096.md,Do students that live in the international dormatories have to submit extra documents for short absence during vacation?,"
              Based on the provided context, it seems that the question is related to the university's requirements for international students. However, the context does not specifically mention the international dormitories. Therefore, I will not answer the question as it is out of the given context.

If the user wants to know more about the university's policies or requirements, I can try to help them find the information."
scraped_data_1717508098.md,Where can I get help to change my payment method for housing fees?,"
              Based on the context provided, you can get help to change your payment method for housing fees by consulting the company managing your residence or the appropriate help desk."
scraped_data_1717508099.md,When is the system maintenance hours for scholarship application?,"
              According to the context, the system maintenance hours for the online application are:

From 4:30 AM to 5:30 AM daily
From 7:30 PM Wednesdays to 9:00 AM Thursdays"
scraped_data_1717508101.md,When can I get the scholarship information?,"
              According to the context provided, the International Center Scholarship Desk at rscholar@st.ritsumei.ac.jp is the contact point for inquiries about scholarship information. It seems that the scholarship application period and results announcement period vary depending on the foundation or institution providing the scholarship, so there is no specific date for when you can get the scholarship information. You can contact the International Center Scholarship Desk to inquire about the scholarship information."
scraped_data_1717508102.md,Where can I look for housing?,"
              You can look for housing on the internet. According to the provided context, you can find information on searching for housing and about housing guarantors at the following URL:

http://en.ritsumei.ac.jp/lifecareer/student-support/

Additionally, you can also search for campus-area apartments through the Student Co-op or on the ""Sumai-Sagashi"" Housing-Search homepage."
scraped_data_1717508104.md,Can international students stay in the dormatories?,"
              Yes, international students can stay in the dormitories. In fact, Ritsumeikan University has several international dormitories called ""International Houses"" near each campus, which are designed to help international students transition to life in Japan by providing an environment where students can adjust to the local language and culture and interact with fellow scholars from around the world."
scraped_data_1717508105.md,Can I keep my student ID card after graduating?,"
              Based on the provided context, the answer to your question is:
              Yes, you will be required to return your student ID card when you
              graduate or withdraw from Ritsumeikan University."
scraped_data_1717508107.md,"Can I maintain my ""Student"" status residence afer graduating for job hunting?","
              Based on the context provided, the answer is no, you cannot maintain your ""Student"" status residence after graduating for job hunting. According to the context, ""Student"" statuses of residence lose their validity upon graduation or completion of studies."
scraped_data_1717508109.md,What should I do if I do not have a passport when applying for COE?,"
              According to the context, you can apply for a study abroad program without a passport at the time of application. However, you may need a passport as soon as your participation in the program is decided for visa acquisition purposes, etc. Therefore, it is recommended that you apply for a passport while preparing your study abroad program application without waiting for program application results."
scraped_data_1717508110.md,Where can I get a SIM card in Japan?,"
              According to the context provided, it seems that the user is looking for a SIM card for their smartphone in Japan. Based on the information, I would suggest that the user can buy a SIM card at a mobile phone store, such as au (KDDI), SoftBank, or NTT Docomo. These carriers have stores in Japan where users can purchase SIM cards and set up their phone plans. The user may also want to check with the carriers for their specific requirements and options for international students."
scraped_data_1717508112.md,What is the minimum credits I can register for?,"
              Based on the provided context, the minimum credits you can register for is not specified. However, it is mentioned that the maximum total of credits you can register is 20, including those already earned in subjects offered by other Colleges."
scraped_data_1717508114.md,Where can I apply for a visa?,"
              According to the context, you can apply for a visa at the nearest Japanese Diplomatic Office."
scraped_data_1717508115.md,What should I do if three months passed the issuance date?,"
              Based on the context provided, if three months have passed since the issuance date listed on the Certificate of Eligibility, please refer to this question."
scraped_data_1717508117.md,What happens to my tuition reduction if I take a leave of absence?,"
              According to the context, if you take a leave of absence, the tuition reduction will not be applied to that semester, nor will it be deferred. Your enrollment status must be registered as ""current student (zaigaku)"" or ""study abroad (ryuugaku)"" to be eligible for the tuition reduction."
scraped_data_1717508119.md,Will I still receive my tuition payment slips when I am overseas?,"
              Based on the context provided, it seems that tuition payment slips are not sent overseas from the university. If your tuition billing address is an overseas address, you will not receive the payment slip. You are advised to ensure that your tuition billing address is an address in Japan, such as your current address."
scraped_data_1717508120.md,Can I get a refund for overpaying my tuition?,"
              Based on the context provided, if you found out that you overpaid on tuition with the announcement of results of the tuition reduction applications, you will be refunded or have the difference subtracted from your next semester's payment."
scraped_data_1717508122.md,When will the tuition fee reduction results be announced?,"
              Based on the context provided, the tuition fee reduction results for the Fall semester of 2022 will be announced in mid-November."
scraped_data_1717508124.md,How will the tuition reduction be decided for first year undergraduates?,"
              Based on the context provided, it is mentioned that ""undergraduate students have their first year's tuition reduction decided based on their performance on the entrance examination before entering the university."" This means that the tuition reduction for first-year undergraduates will be decided based on their performance on the entrance examination before they entered the university."
scraped_data_1717508125.md,How are students chosen for tuition reduction?,"
              According to the context, students are chosen for tuition reduction based on their academic performance and if they hold the ""student (留学)"" resident status."
scraped_data_1717508129.md,Where can I learn Japanese?,"
              Based on the provided context, it seems that you are a student at Ritsumeikan University and you're looking for Japanese language classes. According to the text, there are several options for you to learn Japanese:

1. Language Education Center (CLA) courses offered by the Language Education Center/Center for Language Acquisition and Foreign Language Communication Rooms.
2. Japanese classes for International Residents at Kyoto Prefectural International Center.
3. Practical Japanese Class of IFAI in Ibaraki City.
4. Japanese classes in Shiga Prefecture.

Additionally, the text mentions that by showing your student ID, you can receive free admission or a discount on exhibitions at Museum & Art Museum Campus Members.

Please note that the text also mentions that some programs are only available in Japanese, so it's recommended to check the details on study abroad programs offered by the International Center for all undergraduate students on the Study Abroad Program website.

If you have any further questions or need more information, please feel free to ask."
scraped_data_1717508131.md,Where can I find the International Student handbook?,"
              You can find the International Student Handbook on the International Center's homepage. The handbook has been updated to the 2024 edition and can be downloaded from the following URL: https://www.ritsumei.ac.jp/file.jsp?id=533631. Additionally, the handbook can be accessed through the International Center Online Support Desk (FAQ, Inquiry Form) at https://global.support.ritsumei.ac.jp/hc/en-us."
scraped_data_1717508132.md,List some help desks in town.,"
              Based on the provided context, I can help you with that!

According to the context, there are several help desks in town, including:

1. Kyoto City International Foundation: https://www.kcif.or.jp/web/en/livingguide/
2. Shiga Intercultural Association for Globalization: http://www.s-i-a.or.jp/en/qa
3. Ibaraki City: https://www.city.ibaraki.osaka.jp/kikou/shimin/bunka/menu/Foreigners/

These help desks provide support and resources for international students and foreigners living in the area. If you have any specific questions or concerns, feel free to ask!"
scraped_data_1717508134.md,"What are the conditions of the ""Student"" status of residence?","
              Based on the provided context, the conditions of the ""Student"" status of residence are:

1. The student must get an education at a university.
2. The student's status of residence loses its validity upon graduation or completion of studies.

Additionally, students under the ""Student"" status of residence are not permitted to engage in activities not permitted under their status of residence, and must obtain ""Permission to Engage in an Activity Other Than That Permitted under the Status of Residence Previously Granted"" at the immigration bureau before engaging in such activities.

Please note that the context does not provide further details on the conditions of the ""Student"" status of residence, and the provided information is limited to the conditions mentioned above. If you have any further questions or concerns, please feel free to ask."
scraped_data_1717508136.md,Can students work part-time?,"
              Yes, part-time jobs are permitted for students as long as they do not impede their study, for up to 28 hours per week. Additionally, students are allowed to work up to 8 hours per day/40 hours per week during long-term holidays designated in the school regulations."
scraped_data_1717508138.md,What is the format of the ortientation session for new international students?,"
              I'm happy to help you with your question! However, I couldn't find any information about the format of the orientation session for new international students in the provided context. The text only mentions the information for incoming students, but it doesn't specify the format of the orientation session. If you're looking for information on the orientation session, I would suggest checking the official website of the institution or contacting the international student office for more details."
scraped_data_1717508140.md,Are there study abroad programs offered outside of school?,"
              Yes, the text mentions that there are study abroad programs available in the IT nations who trade the most with Japanese companies and emerging IT nations, such as India, China, and Vietnam, in addition to English-speaking countries. However, it does not explicitly state that these programs are offered outside of school. It suggests that students should check the details with each program's administrative office (e.g., college administrative office, etc.) for study abroad programs offered by colleges or other RU academic institutions."
